States/UTs,Total waste generation (Metric Tonnes Per Day) - Dec-2016,Total waste generation (Metric Tonnes Per Day) - Dec-2017,Total waste generation (Metric Tonnes Per Day) - Dec-2018
Andhra Pradesh,6440,6525,6384
Andaman & Nicobar Islands,100,115,100
Arunachal Pradesh,181,181,181
Assam,650,1134,1134
Bihar,14820,1318,2389
Chandigarh,340,462,446
Chhattisgarh,1896,1680,1649
Daman & Diu,85,23,32
Dadra & Nagar Haveli,35,58,35
NCT of Delhi,8400,10500,10500
Goa,183,260,260
Gujarat,9277,10145,10721
Haryana,3490,4514,4514
Himachal Pradesh,300,342,342
Jammu & Kashmir,1792,1374,1415
Jharkhand,2350,2327,2126
Karnataka,8784,10000,10000
Kerala,1576,1463,624
Madhya Pradesh,5079,6424,6424
Maharashtra,26820,22570,22570
Manipur,176,176,174
Meghalaya,268,268,268
Mizoram,253,201,201
Nagaland,270,342,342
Odisha,2460,2650,2720
Puducherry,495,350,350
Punjab,4100,4100,4100
Rajasthan,5247,6500,6500
Sikkim,49,89,89
Tamil Nadu,15272,15437,15437
Telangana,6628,8071,8634
Tripura,407,420,420
Uttar Pradesh,19180,15288,15500
Uttarakhand,1400,1406,1406
West Bengal,8675,7700,7700
Total/Average,157478,144413,145687
